Key,Text,Hash
ADD_ORGANIZATION,Ajouter une organisation,a8ddf0c9
ADD_PARTICIPANT,Ajouter un participant,61418c5e
ADD_PEOPLE,Ajouter des personnes,487a4a39
ADD_PEOPLE_ONBOARDING_DESCRIPTION,Invitez des personnes dans votre organisation qui utiliseront Terraware. Vous pouvez toujours ajouter d'autres personnes dans les paramètres.,850d40ff
ADD_PERSON,Ajouter une personne,9f8535b1
ADD_PERSON_DESC,Remplissez cette page pour ajouter une personne à l'organisation.,5c7054bc
ADD_PERSON_GENERAL_DESC,Saisissez les informations de la personne ci-dessous.,3ec7f34e
ADD_PHOTO,Ajouter une photo...,5352e66a
ADD_PHOTOS,Ajouter des photos,612b31b1
ADD_PHOTOS_DESCRIPTION,Prenez une photo (ou plusieurs) des lots qui seront plantés dans la sous-zone sélectionnée. Veillez à inclure l'ensemble du retrait sur la ou les photos.,7e265e87
ADD_PHOTOS_DESCRIPTION_OPTIONAL,Prenez une photo optionnelle (ou plusieurs) des lots.,5b1fa829
ADD_PLANT_SITE_DESCRIPTION,Ajouter une description de la plante et du site,af2cccc4
ADD_PLANTING_SITE,Ajouter un site de plantation,9525532c
ADD_PLANTING_SITE_DETAILED_SITE,"Sélectionnez cette option si le site est relativement grand, avec plusieurs strates (couches de végétation) et conditions de croissance. Les sites de plantation détaillés avec plusieurs strates comporteront une ou plusieurs zones.",0ef2429d
ADD_PLANTING_SITE_SIMPLE_SITE,"Sélectionnez cette option si le site de plantation est relativement petit, avec une seule strate.",d6732c11
ADD_PLANTING_SITE_TITLE,Sélectionner le type de site de plantation,e0ce7f80
ADD_PROJECT,Ajouter un projet,89a74ee0
ADD_PROJECT_BY_ORGANIZATION,Ajouter un projet par organisation,86b77b04
ADD_PROJECT_SUBTITLE,Organisez vos données par projets.,f6e3343c
ADD_PROJECTS_BY_ORGANIZATION,Ajouter un ou plusieurs projets par organisation,a44d4086
ADD_PROPOSED_PROJECT_BOUNDARY,Ajouter la limite proposée du projet,aae677c3
ADD_QUANTITY,Ajouter une quantité,7194cf77
ADD_SEED_BANK,Ajouter une banque de semences,eaaefa38
ADD_SEED_BANK_SUBTITLE,Comment traitez-vous et stockez-vous vos semences ? Configurez votre banque de semences afin de suivre l’emplacement de vos semences.,93e0f17c
ADD_SEED_BANKS,Ajouter des banques de semences,f7c08783
ADD_SPECIES,Ajouter des espèces,70fa0cc0
ADD_SPECIES_MANUALLY_DESCRIPTION,"Saisissez le nom scientifique et d’autres champs optionnels manuellement, une espèce à la fois.",8fbef04a
ADD_SPECIES_ONBOARDING_DESCRIPTION,Gérez les espèces que votre organisation collecte et plante.,623f0854
ADD_SPECIES_TO_PROJECT,Ajouter une espèce au projet,b3eef36e
ADD_SUB_LOCATION,Ajouter une sous-localisation,d0ad4ffd
ADD_SUBSET_WEIGHT_AND_COUNT,Ajouter le poids et le nombre du sous-ensemble,e1b6fdf2
ADD_TEST,Ajouter un test,2a608b3f
ADD_TO_PROJECT,Ajouter au projet,3e56c71f
ADD_VIABILITY,Ajouter la viabilité,a4672790
ADD_VIABILITY_TEST,Ajouter un test de viabilité,4648a184
ADDED,Ajouté,d441aa1d
ADDING_SUBZONE_BOUNDARIES,Ajout des limites de sous-zone,58f0fb08
ADDING_SUBZONE_BOUNDARIES_INSTRUCTIONS_DESCRIPTION,Cette vidéo montre comment utiliser l’outil de découpe {0} pour créer des formes de sous-zones (polygones) à l’intérieur des zones.,042bd160
ADDING_ZONE_BOUNDARIES,Ajout des limites de zone,901f668b
ADDING_ZONE_BOUNDARIES_INSTRUCTIONS_DESCRIPTION,Cette vidéo montre comment utiliser l’outil de découpe {0} pour créer des polygones à l’intérieur des limites du site pour les zones.,06f570cb
ADDITIONAL_INVASIVE_THREATENED_SPECIES,Espèces envahissantes/menacées supplémentaires,7d019848
ADDITIONAL_NURSERY_NOTES,Notes supplémentaires sur la pépinière,db29c13a
ADDITIONAL_OBSERVATIONS,Observations supplémentaires,1a8ed320
ADDITIONAL_PLANTING_SITES_NOTES,Notes supplémentaires sur les sites de plantation,364dcb50
ADDITIONAL_RESOURCES,Ressources supplémentaires,13e85f73
ADDITIONAL_SPECIES_DATA,Données supplémentaires sur les espèces (usage interne uniquement),9368c322
ADMIN,Administrateur,cb1c89ab
ADMIN_INFO,"Un administrateur peut effectuer les actions ci-dessus ainsi qu’éditer le profil de l’organisation, gérer les utilisateurs de l’organisation et gérer les banques de semences.",714c9b37
AGAR,Agar,d794be5b
AGAR_PETRI_DISH,Boîte de Petri à l’agar,248fe1af
AGE,Âge,a1411bfd
AGE_MONTHS,Âge (mois),87b3d6b2
AGE_VALUE_1_MONTH,1 mois,05cde70b
AGE_VALUE_LESS_THAN_1_MONTH,<1 mois,1526ec10
AGE_VALUE_MONTHS,{0} mois,61fd27f1
AGE_YEARS,Âge (an),20890365
AGROFORESTRY,Agroforesterie,0bd9987c
ALL,Tous,832a8cf5
ALL_ACCESSIONS_CHECKED_IN,Toutes les accessions ont été enregistrées avec succès !,cbdf5c0a
ALL_MODULES,Tous les modules,b2571c5e
ALL_OBSERVATIONS,Toutes les observations,22e68887
ALL_PLANTING_SITES,Tous les sites de plantation,344a80c6
ALL_SECTIONS,Toutes les sections,d3d73b24
ALL_SENSORS_FOUND,Tous les capteurs ont été trouvés.,453d5c86
ALL_VARIABLES,Toutes les variables,1fe9cddb
ALREADY_INVITED_PERSON_ERROR,Il semble que vous ayez déjà ajouté ou invité cette personne. Veuillez saisir une adresse e-mail unique ou accéder au profil de la personne existante.,67ec2d39
AMOUNT_EST_COUNT,Quantité (nombre estimé),e203609b
AMOUNT_REMAINING,Quantité ({0} restantes),349aa6d6
ANIMAL_DAMAGE,Dommages causés par les animaux,754d26fb
ANNUAL_CARBON_T,Carbone annuel (t),4892cce6
ANNUAL_TARGET,Objectif annuel,ea52c210
ANSWER_APPROVED,Réponse approuvée,8a11d452
ANSWER_NOT_ACCEPETED,Réponse non acceptée,c23b319b
ANSWER_REJECTED,Réponse rejetée,f2df9e77
ANSWERS_NOT_ACCEPTED,Réponses non acceptées,eabf9804
ANSWERS_UPDATE_NEEDED,Mise à jour des réponses requise,5faf2563
APPLICATION,Demande,83d372a5
APPLICATION_ERROR_NO_PROJECT_BOUNDARY,Erreur : aucune limite de projet dessinée,ebf37eb4
APPLICATION_FOR_PROJECT,Demande pour {0},06b35f80
APPLICATION_INSTRUCTIONS,"Commencez par remplir le pré-dépistage. Ensuite, répondez à des questions plus approfondies sur votre projet et téléchargez les documents nécessaires dans la demande. Chaque section de la demande sera accessible après l'approbation de votre pré-dépistage.",f07fd918
APPLICATION_INTERNAL_NAME,Nom interne de la demande,186eabd0
APPLICATION_LIST,Liste des demandes,c328d2fb
APPLICATION_NOT_ACCEPTED,Votre demande n'a PAS été acceptée.,978eb249
APPLICATION_NOT_ACCEPTED_BODY,Votre demande n'a PAS été acceptée car le(s) critère(s) suivant(s) n'a/n'ont pas été respecté(s) :,aa4a39b7
APPLICATION_PRESCREEN,Pré-dépistage de la demande,284af72e
APPLICATION_PRESCREEN_FAILURE_SUBTITLE,"Votre pré-dépistage est terminé, mais vous ne remplissez pas les conditions car le(s) critère(s) suivant(s) n'a/n'ont pas été respecté(s) :",114abadb
APPLICATION_PRESCREEN_FAILURE_TITLE,Votre pré-dépistage n'est PAS qualifié.,2c514540
APPLICATION_PRESCREEN_SUCCESS_SUBTITLE,"Votre pré-dépistage est terminé et vous êtes qualifié pour passer à l'étape suivante, la demande.",bab79de7
APPLICATION_PRESCREEN_SUCCESS_TITLE,Succès ! Votre pré-sélection est admissible.,a93396ef
APPLICATION_RESTORABLE_LAND,Superficie restaurable de la demande (ha),f66453cc
APPLICATION_SITE_BOUNDARY,Limite du site de la demande,14e41a34
APPLICATION_STATUS,Statut de la demande,332f0506
APPLICATION_STEP_APPLICATION_DESCRIPTION,"Pour la demande complète du Programme d’Accélérateur, vous répondrez à des questions générales sur votre projet ainsi qu’à des questions sur la restauration forestière, l’impact communautaire, les aspects financiers et juridiques.",b2631557
APPLICATION_STEP_APPLICATION_NAME,Demande,83d372a5
APPLICATION_STEP_DUEDILIGENCE_DESCRIPTION,"Si votre demande est retenue, nous vous demanderons des documents supplémentaires concernant votre projet afin de confirmer l’admissibilité de votre proposition.",2ae97ee9
APPLICATION_STEP_DUEDILIGENCE_NAME,Vérification préalable,82675fa7
APPLICATION_STEP_PRESCREEN_DESCRIPTION,Dessinez la carte du site proposé pour votre projet et complétez les questions de pré-sélection afin de déterminer si vous êtes admissible à notre Programme d’Accélérateur.,ba9cdb8d
APPLICATION_STEP_PRESCREEN_NAME,Pré-sélection,9a38127f
APPLICATION_SUBMIT_SUCCESS,Succès ! Votre demande a été soumise.,b594c9eb
APPLICATION_SUBMIT_SUCCESS_BODY,"Merci d’avoir soumis une demande à l’Accélérateur Forêt Seed to Carbon. Nous avons bien reçu votre demande et elle est en cours d’examen.
Vous pouvez consulter vos réponses soumises et le statut de votre demande dans ce compte.",d051913e
APPLICATION_WAITLISTED,Votre demande a été placée sur liste d’attente.,50e2b8b0
APPLICATION_WAITLISTED_BODY,Votre demande a été placée sur liste d’attente car les critères suivants n’ont pas été remplis :,a15240d4
APPLICATIONS,Demandes,97e75e41
APPLY,Appliquer,6c0f6e36
APPLY_RESULT,Appliquer le résultat,f9c062f6
APPLY_RESULT_QUESTION,Voulez-vous appliquer ce résultat à l'accession ?,36949b1c
APPLY_TO_ACCELERATOR,Postuler à l’Accélérateur,d74e3756
APPLY_TO_ACCELERATOR_DESCRIPTION,Postulez à notre Accélérateur Forêt de la Graine au Carbone ! En savoir plus {0} ou cliquez sur le bouton ci-dessous pour postuler.,2c1f02cf
APPROVE,Approuver,913a9927
APPROVE_DELIVERABLE,Approuver le livrable,7efd4b07
APPROVED,Approuvé,b279ed0b
APPROX_SYMBOL,~,acb59e95
ARE_YOU_SURE,Êtes-vous sûr ?,d4536b91
AREA_HA,Superficie (ha),8ab5d500
AS_OF_X,au {0},6d77dc0f
ASSIGN,Attribuer,d1afb440
ASSIGN_NEW_OWNER,Attribuer un nouveau propriétaire,5dd9263d
ASSIGN_NEW_OWNER_DESC,"Pour supprimer le propriétaire actuel, vous devez attribuer un nouveau propriétaire.",2dd31177
ASSIGN_OWNER,Attribuer un propriétaire,dc696cfa
ASSIGN_OWNER_ELLIPSIS,Attribuer un propriétaire...,8053cd0e
ASSIGNED,Attribué,29aa3dd8
ATTACH_IMAGES_OR_VIDEOS,Joindre une ou des images ou une vidéo,c229aa87
ATTACHMENT_DESCRIPTION,Joignez jusqu'à {0} fichiers. Chaque fichier a une taille maximale de {1} Mo.,8ba18a63
ATTACHMENT_LIMIT_REACHED,Limite de pièces jointes atteinte,9f9323bc
ATTACHMENT_LIMIT_REACHED_MESSAGE,Vous ne pouvez télécharger que {0} pièces jointes.,cc438d34
ATTACHMENTS,Pièces jointes,e7695404
AVAILABLE,disponible,716e496f
AVERAGE_WOOD_DENSITY,Densité moyenne du bois (kb/m3),b413c9a9
AWAITING_CHECK_IN,En attente d'enregistrement,11dee61b
AWAITING_PROCESSING,En attente de traitement,802b73ca
BACK,Retour,2e8211b0
BACK_OF_SEED_BANK,Arrière de la banque de semences,1d8deb72
BACK_TO_TERRAWARE,Retour à Terraware,a22174ad
BAG_ID,ID du sac,1eaa1440
BATCH,Lot,9fdfdd9b
BATCH_DETAILS,Détails du lot,9ebc8179
BATCH_HISTORY_TYPE_DETAILS_EDITED,Détails modifiés,4e7e4bd8
BATCH_HISTORY_TYPE_INCOMING_WITHDRAWAL,Retrait entrant,e9ddca41
BATCH_HISTORY_TYPE_OUTGOING_WITHDRAWAL,Retrait sortant,05f67246
BATCH_HISTORY_TYPE_PHOTO_CREATED,Photo créée,b7242e85
BATCH_HISTORY_TYPE_PHOTO_DELETED,Photo supprimée,a1951aa1
BATCH_HISTORY_TYPE_QUANTITY_EDITED,Quantité modifiée,0e759125
BATCH_HISTORY_TYPE_STATUS_CHANGED,Statut modifié,b151d962
BATCH_NUMBER,Numéro de lot,4576c1c5
BATCH_WITHDRAW_SUCCESS,{0} {1} pour un total de {2} {3} retirés.,12e46db6
BATCHES,Lots,9a63f6cf
BATCHES_AT,Lots à {0},b3caf9d1
BATCHES_COLUMN_TOOLTIP,Les lots vides ne sont pas comptés dans cette colonne.,2e59945a
BATCHES_OF,Lots de {0},9de027f8
BATCHES_PLURAL,lots,e5581f26
BATCHES_SINGULAR,lot,a3a42fdb
BEST_MONTHS_FOR_OBSERVATIONS,Meilleurs mois pour les observations,99083629
BEST_MONTHS_FOR_OBSERVATIONS_INSTRUCTIONS,Il s'agit des saisons qui conviennent le mieux en fonction des capacités de votre équipe et qui tiennent également compte de facteurs environnementaux tels que l'absence de neige et la facilité d'identifier la survie des plantations. Veuillez sélectionner tous les mois applicables.,efb1c93a
BEST_MONTHS_FOR_OBSERVATIONS_VALIDATION_ERROR,Veuillez sélectionner au moins un mois.,999b9492
BIODIVERSITY,Biodiversité,fa436482
BIOMASS_EMPTY_STATE_MESSAGE_1,Il n'y a actuellement aucune observation de parcelle ad hoc.,7dd9cdf0
BIOMASS_EMPTY_STATE_MESSAGE_2,Les observations pour le suivi de la biomasse peuvent être enregistrées via les observations de parcelles ad hoc dans l'application mobile.,e9184a63
BIOMASS_MEASUREMENT,Mesure de la biomasse,cf846a13
BIOMASS_MEASUREMENTS,Mesures de la biomasse,fab7d40f
BIOMASS_MONITORING,Suivi de la biomasse,c249c88e
BIOMASS_OBSERVATION_FILENAME_PREFIX,Biomasse-Observation,15aec1fa
BOOLEAN_FALSE,faux,7a03081c
BOOLEAN_TRUE,vrai,54415086
BOUNDARIES,Limites,e40b0600
BOUNDARIES_AND_ZONES,Limites et zones,7ec48419
BUDGET_DOCUMENT_XLS,Document budgétaire (.XLS),6eface4e
BUDGET_NARRATIVE_SUMMARY,Résumé narratif du budget,075fcdb3
BUDGET_NARRATIVE_SUMMARY_INSTRUCTIONS,"Fournissez un résumé général de votre budget par rapport aux réalisations, en notant toute divergence majeure et en listant les contributeurs. (Une demi-page maximum.)",3a2e7928
BUDGET_NARRATIVE_SUMMARY_REQUIRED,Résumé narratif du budget *,e90de8c1
BUG_REPORT,Rapport de bug,5fab1616
BUG_REPORT_DESCRIPTION,Signalez-nous tout problème rencontré lors de l’utilisation de Terraware.,0030b91e
BUG_REPORT_INSTRUCTIONS,Fournissez une description détaillée du problème rencontré. (Où le problème est-il survenu ? Qu’avez-vous fait avant de rencontrer le problème ? Que vous attendiez-vous à ce qu’il se passe ?),b2ca26aa
BY,Par,e8fbe470
BY_BATCH,Par lot,68c5092f
BY_NURSERY,Par pépinière,a0a2faa5
BY_SPECIES,Par espèce,602624ab
CANCEL,Annuler,e73dc4d4
CANCEL_DATA_CHECK,Annuler la vérification des données,5f140f00
CANNOT_DELETE_APPLICATION_PROJECT,Ce projet ne peut pas être supprimé car une demande au programme d’Accélérateur a été commencée pour ce projet.,5c1b8d4f
CANNOT_EDIT,Impossible de modifier,97a312d7
CANNOT_REMOVE,Impossible de supprimer,43979d40
CANNOT_REMOVE_MSG,Vous ne pouvez pas vous retirer car il n’y a personne d’autre dans l’organisation. Voulez-vous plutôt supprimer l’organisation ?,731f8780
CANNOT_REMOVE_TF_CONTACT,Les contacts Terraformation ne peuvent pas être supprimés d’une organisation.,463cd4fb
CAPTION,Légende,53faec4e
CARBON,Carbone,f0d582f6
CARBON_CAPACITY_TC02_HA,Capacité carbone (tCO2/ha),a313a17e
CARBON_CERTIFICATIONS,Certifications carbone,7132f9e8
CARBON_DATA,Données carbone,8a8d2cd9
CARBON_ELIGIBILITY,Admissibilité au carbone,90b7ac55
CATALYTIC_CHECKBOX,Le soutien de Terraformation a été catalyseur pour obtenir des financements ou des partenariats supplémentaires pour notre travail.,685a60d7
CATALYTIC_DETAIL,Financement catalyseur,829ae285
CATALYTIC_DETAIL_INSTRUCTIONS,Veuillez indiquer si le soutien de Terraformation a été catalyseur pour obtenir des financements ou des partenariats supplémentaires pour votre travail. Fournissez des détails si possible. (Maximum un quart de page.),d14625d1
CATEGORIES,Catégories,f1e296e3
CATEGORY,Catégorie,d73c5b12
CERTIFICATION,Certification,706b15e5
CHALLENGE,Défi,9a52c197
CHALLENGES,Défis et revers,5fec3082
CHALLENGES_AND_MITIGATION_PLAN,Défis et plan d’atténuation,697f773f
CHALLENGES_INSTRUCTIONS,"Terraformation estime que les enseignements tirés des défis et des échecs sont souvent à l’origine des plus grands progrès, et que le partage de ces expériences peut avoir un impact positif à l’échelle mondiale. Veuillez indiquer les défis ou revers rencontrés au cours de la période de rapport. Quel est l’impact de ces défis et comment ces revers peuvent-ils être surmontés dans le cadre du projet actuel ? Que souhaiteriez-vous faire différemment dans un projet futur ? (Une page maximum.)",ed2dc36a
CHALLENGES_REQUIRED,Défis et revers *,253f97ed
CHANGE,Modifier,e276068b
CHANGE_DEFAULT_WEIGHT_SYSTEM,Vous pouvez modifier votre système de poids par défaut depuis {0},e1257e91
CHANGE_GERMINATING_STATUS,Modifier le statut de germination,21fd8bfe
CHANGE_NOT_READY_STATUS,Modifier le statut « Non prêt »,58e5eef9
CHANGE_TO,Modifier en {0},8423817d
CHANGES,Modifications,47809a57
CHANGES_SAVED,Modifications enregistrées !,709a9559
CHECK_DATA,Vérifier les données,f99c93bc
CHECK_DATA_DESCRIPTION,Vous pouvez effectuer une vérification de la base de données pour comparer vos informations sur les espèces avec celles enregistrées dans la base de données GBIF. Cela signalera les entrées si le nom scientifique de votre espèce est mal orthographié ou absent de la base de données. Cette opération peut prendre quelques minutes et ne peut pas être annulée une fois commencée.,b5932faa
CHECK_DATE,Date de vérification,2e9f3043
CHECK_DATE_REQUIRED,Date de vérification *,f21d44e5
CHECK_IN,Enregistrer,1b4b654e
CHECK_IN_ALL,Tout enregistrer,3f860ccf
CHECK_IN_ALL_CONFIRM,Êtes-vous sûr de vouloir enregistrer toutes les accessions ? Cette action est irréversible.,a6fc6547
CHECK_IN_MESSAGE,{0} nouvelles accessions devraient avoir été déposées à la banque de semences. Veuillez vérifier leur arrivée et les enregistrer.,b39ff957
CHECK_THAT_ALL_REQUIRED_QUESTIONS_ARE_FILLED_OUT_BEFORE_SUBMITTING,Vérifiez que toutes les questions obligatoires sont remplies avant de soumettre,04ee0048
CHECKED_IN,Enregistré !,1e7ea963
CHECKIN_ACCESSIONS,Enregistrer les accessions,3046e6fd
CHECKING_DATA,"Vérification de la base de données en cours. Veuillez patienter, cela peut prendre quelques minutes...",7a36812b
CHEMICAL,Produit chimique,7363e596
CHOOSE_FILE,Choisir un fichier...,967c4c38
CITATION,Citation,772afe77
CITY,Ville,27557cbb
CLAIMED,Réclamé,5813de3e
CLICK_UP,ClickUp,1ea256c3
CLICK_UP_LINK,Lien ClickUp,787363a6
CLIMATE,Climat,63ba44ee
CLIMATE_IMPACT,Impact climatique,876c48a4
CLOSE,Fermer,e6e3f022
COHORT,Cohorte,81afe896
COHORT_ADDED,{0} cohorte ajoutée,c8518668
COHORT_NAME,Nom de la cohorte,655d8af3
COHORT_PHASE_DUE_DILIGENCE,Phase 0 - Diligence raisonnable,6c20cb46
COHORT_PHASE_FEASIBILITY_STUDY,Phase 1 - Étude de faisabilité,94889837
COHORT_PHASE_IMPLEMENT_AND_MONITOR,Phase 3 - Mise en œuvre et suivi,d8def4af
COHORT_PHASE_PLAN_AND_SCALE,Phase 2 - Planification et mise à l’échelle,a51c9fc2
COHORTS,Cohortes,b0aca6fa
COHORTS_AND_PROJECTS,Cohortes et projets,beee8563
COHORTS_AND_PROJECTS_DESCRIPTION,Vous trouverez ci-dessous une liste des cohortes et de leurs projets ayant ajouté ce module.,ac20cfef
COHORTS_EMPTY_STATE,"Vous n'avez pas encore de cohortes. Lorsque vous en ajouterez, elles apparaîtront ici.",b764b773
COLLECTED_DATE,Date de collecte,3f1515d8
COLLECTED_FROM,Collecté depuis,ffc6ad60
COLLECTING_SITE,Site de collecte,7491b42b
COLLECTION_DATE,Date de collecte,37db5c5f
COLLECTION_DATE_REQUIRED,Date de collecte *,e9fbd2db
COLLECTION_SITE,Nom du site de collecte,32b625d7
COLLECTION_SOURCE,Type de source végétale,292a47fa
COLLECTOR,Collecteur,cf2069b8
COLLECTORS,Collecteurs,55432568
COMMENTS,Commentaires,5a6f1269
COMMON_NAME,Nom commun,d7db2e57
COMMUNITY,Communauté,a1e5aaf2
COMPLETE,Terminer,348b099c
COMPLETE_REPORTS,Rapports à compléter,7f777ccd
COMPLETE_REPORTS_SUBTITLE,Vos rapports sont prêts à être complétés et soumis à Terraformation :,be6ba195
COMPLETED,Terminé,fffea884
COMPLETED_ENDED,Terminé (Clôturé),cf806b11
COMPLIANCE,Conformité,a255a475
COMPONENT,Composant,301be073
CONDITIONAL,Conditionnel,605c68a6
CONFIRM,Confirmer,fe564422
CONFIRMED_RESTORABLE_LAND,Terres restaurables TF (ha),efa25d21
CONNECT_FAILED,Échec de la connexion,f7d9f771
CONNECTED,Connecté,3b968629
CONSERVATION_CATEGORY,Catégorie Liste rouge UICN,115916f3
CONTACT_US,Contactez-nous,34a1b9ca
CONTACT_US_DESCRIPTION,Faites-nous part de votre expérience avec Terraware et demandez un soutien supplémentaire pour vous ou votre organisation.,e0205a80
CONTACT_US_INSTRUCTIONS,"Votre retour est très important pour nous. Merci de nous faire part de votre expérience avec Terraware et de nous indiquer comment nous pouvons vous aider, vous et votre organisation, à tirer le meilleur parti de Terraware.",7560171e
CONTENT_AND_MATERIALS,Contenu et matériaux,c0cf19c7
CONTENTS,Contenu,0913f748
CONTINUE_AND_RESET_STATUS,Continuer et réinitialiser le statut,5f35516c
CONTINUE_APPLICATION,Continuer la demande,bd87b380
CONTINUE_TO_APPLICATION,Continuer vers la demande,bc4ca333
CONTRIBUTOR,Contributeur,79b43797
CONTRIBUTOR_INFO,"Un contributeur peut ajouter des entrées de données pour les semences, gérer l’inventaire de la pépinière à l’exception des retraits pour plantation, consulter les retraits, gérer les réaffectations de la pépinière et visualiser les plantations d’un site de plantation sur une carte géographique.",2e98706c
CONVERTED_VALUE_INFO,Cette valeur est calculée automatiquement à titre informatif.,d8d0d516
COOKIES,Cookies,fe57dc6f
COOKIES_ACCEPT,Accepter les cookies,78702f3c
COOKIES_DECLINE,Refuser les cookies,faf87a51
COOKIES_DESCRIPTION,Terraware utilise des cookies de performance pour analyser et améliorer la qualité du site et optimiser votre expérience utilisateur.,911fd969
COOKIES_LEARN_MORE,En savoir plus sur notre politique en matière de cookies.,340de1a9
COUNT,Nombre,59ea1127
COUNTRY,Pays,cac01305
COUNTRY_ONLY,Pays uniquement,d621bf13
COUNTRY_REQUIRED,Pays *,2b4fcea0
CREATE,Créer,24731958
CREATE_NEW_ORGANIZATION,Créer une nouvelle organisation,a0e026b8
CREATE_NEW_PROJECT,Créer un nouveau projet,b709ff33
CREATE_ORGANIZATION,Créer une organisation,589326d1
