key_name,en,comment
COMMUNITY,Community,
COMPLETE,Complete,
COMPLETE_REPORTS,Complete Reports,
COMPLETE_REPORTS_SUBTITLE,Your reports are ready to be completed and submitted to Terraformation:,
COMPLETED,Completed,
COMPLIANCE,Compliance,
CONDITIONAL,Conditional,
CONFIRMED_RESTORABLE_LAND,TF Restorable Land (ha),
CONNECT_FAILED,Connect failed,
CONNECTED,Connected,
CONSERVATION_CATEGORY,IUCN Red List Category,
CONTACT_US,Contact Us,
CONTACT_US_DESCRIPTION,Let us know about your experience with Terraware and inquire about additional support for you or your organization.,
CONTACT_US_INSTRUCTIONS,Your feedback is very important to us. Please let us know about your experience with Terraware and how we can help you and your organization get the most out of Terraware.,
CONTENTS,Contents,
CONTINUE_AND_RESET_STATUS,Continue and Reset Status,
CONTINUE_APPLICATION,Continue Application,
CONTINUE_TO_APPLICATION,Continue to Application,
CONTRIBUTOR,Contributor,
CONTRIBUTOR_INFO,"A contributor can add data entries for seeds, manage nursery inventory except planting withdrawals, view withdrawals, manage nursery reassignments and visualize a planting site’s plantings on a geographical map.",
CONVERTED_VALUE_INFO,This value is auto-calculated for informational purposes.,
COOKIES,Cookies,
COOKIES_ACCEPT,Accept Cookies,
COOKIES_DECLINE,Decline Cookies,
COOKIES_DESCRIPTION,Terraware uses performance cookies to analyze and improve the quality of the site and enhance your user experience.,
COOKIES_LEARN_MORE,Learn more about our cookie policy.,
COUNT,Count,
COUNTRY,Country,
COUNTRY_REQUIRED,Country *,
CREATE,Create,
CREATE_NEW_ORGANIZATION,Create New Organization,
CREATE_NEW_PROJECT,Create New Project,
CREATE_ORGANIZATION,Create Organization,
CREATE_ORGANIZATION_QUESTION_LOCATION_TYPES,Does your organization manage any of the following? Check all that apply.,
CREATE_ORGANIZATION_QUESTION_ORGANIZATION_TYPE,Which of the following best describes your organization?,
CREATE_SPECIES_LIST,Create Species List,
CREATED,Created,
CREATED_BY,Created by,
CREATED_ON,Created on,
CT,ct,
CULTIVATED,Cultivated,
CULTIVATED_EX_SITU,Cultivated (Ex Situ),
CULTIVATED_EX_SITU_DESCRIPTION,"Plants that have been grown in a nursery, seed production area, or other propagation facility.",
CURRENT_NEXT_OBSERVATION,Current/Next Observation,
CURRENT_PHASE,Current Phase,
CURRENT_TIMELINE,Current Timeline,
CUSTOMIZE_COLUMNS,Customize Columns...,
CUSTOMIZE_TABLE_COLUMNS,Customize table columns,
CUSTOMIZE_TABLE_COLUMNS_DESCRIPTION,Select columns you want to add. Deselect columns you want to remove.,
CUT_TEST,Cut Test,
DASHBOARD,Dashboard,
DASHBOARD_HEADER_TEXT,The data on this dashboard is based on a sample of {0} hectares from the {1} observation., {1} date of the last observation in short format (e.g. July 2023)
DASHBOARD_MESSAGE,Your seeds dashboard will automatically populate with data as you add accessions.,
DASHBOARD_MESSAGE_TITLE,Add Accessions to See Data,
DATA_CHECK_COMPLETED,Database check complete. No errors were found!,
DATA_CHECK_WITH_PROBLEMS,Database check complete. {0} potential errors were found.,
DATA_IMPORT_FAILED,Data import failed,
DATA_IMPORT_ROW_MESSAGE,Row {0}: {1},{0} is a number referring to a row in a spreadsheet file; {1} is an error message related to the row.
DATE,Date,
DATE_ADDED,Date Added,
DATE_ADDED_REQUIRED,Date Added *,
DATE_MUST_BE_FUTURE,Date must be in the future,
DATE_RANGE,{0} - {1},"{0} is the start date and {1} is the end date, both in YYYY-MM-DD format."
DATE_SUBMITTED,Date Submitted,
DATE_UPDATED,Date Updated,
DATE_UPLOADED,Date Uploaded,
DEAD,Dead,
DEAD_PLANTS_OBSERVED,Dead Plants Observed,
DEAL_DESCRIPTION,Deal Description,
DECLINE,Decline,
DEFAULT_LANGUAGE_SELECTED,Default language: {0},
DEGREES_CELSIUS_VALUE,{0}ºC,
DELETE,Delete,
DELETE_ACCESSION,Delete Accession,
DELETE_ACCESSION_MESSAGE,You’re about to delete accession {0}.,
DELETE_ACCOUNT,Delete Account,
DELETE_ACCOUNT_CONFIRMATION,Are you sure you want to delete your account? This cannot be undone.,
DELETE_ACCOUNT_ERROR,There was an error deleting your account.,
DELETE_CONFIRMATION_MODAL_MAIN_TEXT,Are you sure you want to delete the unused selected species?,
DELETE_ORGANIZATION,Delete Organization,
DELETE_ORGANIZATION_MSG,Are you sure you want to delete {0}?,
DELETE_PLANTING_SITE,Delete Planting Site,
DELETE_PLANTING_SITE_CONTACT_US,Please [contact us] to delete the planting site.,
DELETE_PLANTING_SITE_IN_USE_MESSAGE,Planting site {0} has plantings allocated.,
DELETE_PLANTING_SITE_MESSAGE,You’re about to delete planting site {0}.,
DELETE_PROJECT,Delete Project,
DELETE_PROJECT_CONFIRM,Are you sure you want to delete this project? All project categorization will be removed.,
DELETE_SEEDLINGS_BATCHES,Delete Seedlings Batches,
DELETE_SEEDLINGS_BATCHES_MSG,Are you sure you want to delete the seedlings batches?,
DELETE_SPECIES,Delete Species,
DELETE_STATISTICS,Delete Statistics,
DELETE_VIABILITY_TEST,Delete Viability Test,
DELETE_VIABILITY_TEST_MESSAGE,You’re about to delete viability test {0}.,
DELETED_SPECIES,<deleted species>,
DELIVERABLE_APPROVED,Deliverable Approved,
DELIVERABLE_CATEGORY,Category: {0},"Shows the deliverable document's category name, example Category: Legal"
DELIVERABLE_NAME,Deliverable Name,
DELIVERABLE_NOT_ACCEPTED,Deliverable Not Accepted,
DELIVERABLE_PROJECT,Project: {0},"Shows the project name associated with the deliverable document, example Project: Andromeda"
DELIVERABLE_REJECTED,Deliverable Rejected,
DELIVERABLE_STATUS_CHANGE_CONFIRMATION_1,Submitting a document after a deliverable has been reviewed will reset the deliverable status.,
DELIVERABLE_STATUS_CHANGE_CONFIRMATION_2,Are you sure you still want to submit a document?,
DELIVERABLE_STATUS_UPDATED,Deliverable Status Updated,
DELIVERABLE_SUBMITTED_FOR_APPROVAL,Deliverable Submitted for Approval,
DELIVERABLES,Deliverables,
DENSITY_COMFORTABLE,Density - Comfortable,
DENSITY_COMPACT,Density - Compact,
DENSITY_ROOMY,Density - Roomy,
DENSITY_SETTINGS,Density Settings,
DESCRIBE_ORGANIZATION_TYPE_DETAILS,Describe your organization,
DESCRIPTION,Description,
DESCRIPTION_KNOWLEDGE_BASE,Learn how to use Terraware and find answers to your questions about Terraware features.,
DESCRIPTION_NOTES,Description/Notes,
DESCRIPTION_ORGANIZATION,"Your organization may include people, and species.",
DESCRIPTION_PEOPLE,Invite those who contribute to the organization’s success.,
DESCRIPTION_REPORT_PROBLEM,"If you’re experiencing an issue while using Terraware, please let us know. Please mention this build version: {0}.",
DESCRIPTION_REQUEST_FEATURE,We’re always interested in improving your experience with Terraware. Let us know how we can help you make the most out of it.,
DESCRIPTION_REQUIRED,Description *,
DESCRIPTION_SPECIES,Manage species that you collect or plant.,
DESTINATION,Destination,
DESTINATION_REQUIRED,Destination *,
DETAILED_SITE,Detailed Site,
DETAILS,Details,
DIAMETER_AT_BREAST_HEIGHT,Diameter at Breast Height (DBH) at Maturity (cm),
DIRECTION_OR_DESCRIPTION,Direction or Description,
DOC_PRODUCER,Doc Producer,
DOCUMENT,Document,
DOCUMENT_DETAILS,Edit Document Details,
DOCUMENT_LIMIT_REACHED,Document Limit Reached,
DOCUMENT_LIMIT_REACHED_MESSAGE,You may only upload {0} documents. Talk to your Terraformation representative if you would like to upload more.,
DOCUMENT_NAME,Document Name,
DOCUMENT_OWNER,Document Owner,
DOCUMENT_TEMPLATE,Document Template,
DOCUMENTS,Documents,
DOCUMENTS_ADD_CARD_INSTRUCTIONS,You have no documents yet. Start by adding one below.,
DOCUMENTS_ADD_CARD_TITLE,Add a Document,
DOCUMENTS_ADD_FORM_ASSOC_ORG,Associated Organization,
DOCUMENTS_ADD_FORM_DOC_NAME,Document Name,
DOCUMENTS_ADD_FORM_DOC_OWNER,Document Owner,
DOCUMENTS_ADD_FORM_DOCUMENT_TEMPLATE,Document Template,
DOCUMENTS_ADD_FORM_METHODOLOGY,Methodology,
DONE,Done,
DONT_SHOW_AGAIN,Don't Show Again,
DOWNLOAD,Download,
DOWNLOAD_COMPLETE,Download complete,
DOWNLOAD_CSV_TEMPLATE,Download a CSV template here.,
DOWNLOAD_FAILED,Download failed,
DOWNLOAD_FAILED_DESCRIPTION,The download has failed. Please email {0} so we can assist you.,
DOWNLOAD_IN_PROGRESS,Download in progress...,
DOWNLOAD_ON_APP_STORE,Download on the App Store,
DOWNLOAD_ON_GOOGLE_PLAY,Get it on Google Play,
DOWNLOAD_REPORT_DESCRIPTION,You are about to download this table as a spreadsheet (CSV file). Name your spreadsheet below.,
DOWNLOAD_SPECIES_SUBMISSION_SNAPSHOT,Download List (.csv) at Time of Approval,
DOWNLOAD_TEMPLATE,Download a template here.,
DOWNLOAD_THE_CSV_TEMPLATE,Download the CSV template.,
DRAFT,Draft,
DRAW_BOUNDARY_WITHIN_MAP,Draw the boundary within a map,
DRAW_PROJECT_BOUNDARY,Draw the Project Boundary,
DRAW_PROPOSED_PROJECT_BOUNDARY,Draw Proposed Project Boundary,
DRY_CABINET,Dry Cabinet,
DRYING,Drying,
DRYING_RACKS,Drying Racks,
DUE,Due: {0},
DUE_DATE,Due date,
DUE_DATE_PREFIX, Due Date: {0},
DUPLICATE_SPECIES_FOUND,Duplicate species found.,
DUPLICATED_ACCESSION_NUMBER,We found {0} duplicated accession numbers:,
DUPLICATED_INVENTORY,We found {0} duplicated inventory:,
DUPLICATED_SPECIES,We found {0} duplicated species:,
ECOLOGICAL_ROLE_KNOWN,Ecological Role Known,
ECOLOGICAL_ROLE_KNOWN_TOOLTIP,"List ecological roles such as functional group of the species, ecosystem services provided, role as keystone species, etc.",
ECOSYSTEM_BOREAL_FOREST_TAIGA,Boreal forests/Taiga,
ECOSYSTEM_DESERT_XERIC_SHRUBLAND,Deserts and xeric shrublands,
ECOSYSTEM_FLOODED_GRASSLAND_SAVANNA,Flooded grasslands and savannas,
ECOSYSTEM_MANGROVE,Mangroves,
ECOSYSTEM_MEDITERRANEAN_FOREST,"Mediterranean forests, woodlands and scrubs",
ECOSYSTEM_MONTANE_GRASSLAND_SHRUBLAND,Montane grasslands and shrublands,
ECOSYSTEM_TEMPERATE_BROADLEAF_MIXED_FOREST,Temperate broad leaf and mixed forests,
ECOSYSTEM_TEMPERATE_CONIFEROUS_FOREST,Temperate coniferous forest,
ECOSYSTEM_TEMPERATE_GRASSLAND_SAVANNA_SHRUBLAND,"Temperate grasslands, savannas and shrublands",
ECOSYSTEM_TROPICAL_CONIFEROUS_FOREST,Tropical and subtropical coniferous forests,
ECOSYSTEM_TROPICAL_DRY_BROADLEAF_FOREST,Tropical and subtropical dry broad leaf forests,
ECOSYSTEM_TROPICAL_GRASSLAND_SAVANNA_SHRUBLAND,"Tropical and subtropical grasslands, savannas and shrublands",
ECOSYSTEM_TROPICAL_MOIST_BROADLEAF_FOREST,Tropical and subtropical moist broad leaf forests,
ECOSYSTEM_TUNDRA,Tundra,
ECOSYSTEM_TYPE,Ecosystem Type,
EDIT,Edit,
EDIT_ACCESSION,Edit Accession,
EDIT_ACCESSION_DETAIL,Edit Accession Detail,
EDIT_ACCOUNT,Edit Account,
EDIT_BATCH_DETAILS,Edit Batch Details,
EDIT_COHORT,Edit Cohort,
EDIT_DOCUMENT_DETAILS,Edit Document Details,
EDIT_FEEDBACK,Edit Feedback,
EDIT_LOCATION,Edit Location,
EDIT_NURSERY,Edit Nursery,
EDIT_ORGANIZATION,Edit Organization,
EDIT_PARTICIPANT,Edit Participant,
EDIT_PERSON,Edit Person,
EDIT_PLANTING_SITE,Edit Planting Site,
EDIT_PROJECT,Edit Project,
EDIT_PROJECT_NAME,Edit Project Name,
EDIT_PROJECT_NAME_CONFIRMATION,You are editing a project name that is currently being used by {0} in Terraware.,
EDIT_QUANTITY,Edit Quantity,
EDIT_QUANTITY_DISABLED,"Quantity may not be edited when the status is ""Used Up"".",
EDIT_SCORES,Edit Scores,
EDIT_SEED_BANK,Edit Seed Bank,
EDIT_SPECIES,Edit Species,
EDIT_STATUS,Edit Status,
